Season year and week (40);;;State;;;;;;;;;;;;;;;;
Season year and week (40);enddate;Germany_sum;Baden-Wuerttemberg;Bavaria;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Lower Saxony;North Rhine-Westphalia;Rhineland-Palatinate;Saarland;Saxony;Saxony-Anhalt;Schleswig-Holstein;Thuringia;Unknown
2005/06 SW45 (w/e 08/13);2006-08-13;1;;;;1;;;;;;;;;;;;;
2005/06 SW46 (w/e 08/20);2006-08-20;3;;3;;;;;;;;;;;;;;;
2005/06 SW47 (w/e 08/27);2006-08-27;2;;1;;;;;;;1;;;;;;;;
2005/06 SW48 (w/e 09/03);2006-09-03;1;;;;1;;;;;;;;;;;;;
2005/06 SW49 (w/e 09/10);2006-09-10;1;;;;1;;;;;;;;;;;;;
2005/06 SW50 (w/e 09/17);2006-09-17;1;;;;1;;;;;;;;;;;;;
2005/06 SW52 (w/e 10/01);2006-10-01;1;;;1;;;;;;;;;;;;;;
2006/07 SW01 (w/e 10/08);2006-10-08;2;;;;;;;;;;;;;;1;1;;
2006/07 SW03 (w/e 10/22);2006-10-22;3;1;;1;1;;;;;;;;;;;;;
2006/07 SW04 (w/e 10/29);2006-10-29;4;;;;1;;;1;;;;1;;1;;;;
2006/07 SW05 (w/e 11/05);2006-11-05;4;;;;1;;1;;;;;;;1;;;1;
2006/07 SW06 (w/e 11/12);2006-11-12;3;1;;;;;;;;1;1;;;;;;;
2006/07 SW07 (w/e 11/19);2006-11-19;4;;1;;1;;;;;1;;1;;;;;;
2006/07 SW08 (w/e 11/26);2006-11-26;2;1;;;;;;;1;;;;;;;;;
2006/07 SW09 (w/e 12/03);2006-12-03;3;1;;;;;;;;;;1;;1;;;;
2006/07 SW10 (w/e 12/10);2006-12-10;4;2;;;;;;;1;;;1;;;;;;
2006/07 SW11 (w/e 12/17);2006-12-17;2;;1;;;;;1;;;;;;;;;;
2006/07 SW12 (w/e 12/24);2006-12-24;14;2;2;;;;;;1;3;1;5;;;;;;
2006/07 SW13 (w/e 12/31);2006-12-31;7;1;;;;;;;;2;;1;;3;;;;
2006/07 SW14 (w/e 01/07);2007-01-07;14;2;;1;;2;;1;;2;1;5;;;;;;
2006/07 SW15 (w/e 01/14);2007-01-14;33;7;8;1;1;;;1;;1;2;9;;2;;;1;
2006/07 SW16 (w/e 01/21);2007-01-21;74;25;7;2;2;1;1;;1;11;;16;;6;1;;1;
2006/07 SW17 (w/e 01/28);2007-01-28;149;39;28;5;5;;;2;9;8;5;35;;6;4;1;2;
2006/07 SW18 (w/e 02/04);2007-02-04;348;94;69;17;2;2;6;17;11;17;15;58;;26;4;3;7;
2006/07 SW19 (w/e 02/11);2007-02-11;927;232;253;23;17;9;27;30;16;76;54;124;2;37;4;8;15;
2006/07 SW20 (w/e 02/18);2007-02-18;1659;377;418;58;30;5;35;53;48;164;121;188;1;111;5;22;23;
2006/07 SW21 (w/e 02/25);2007-02-25;2413;388;641;91;73;12;39;93;70;303;178;209;2;117;52;28;117;
2006/07 SW22 (w/e 03/04);2007-03-04;3542;449;816;210;120;21;16;130;151;324;359;302;9;257;148;37;193;
2006/07 SW23 (w/e 03/11);2007-03-11;3617;375;675;315;135;17;37;100;189;444;359;237;6;324;157;88;159;
2006/07 SW24 (w/e 03/18);2007-03-18;2726;248;517;173;97;13;16;61;106;268;267;175;22;363;149;98;153;
2006/07 SW25 (w/e 03/25);2007-03-25;1698;181;315;87;36;6;2;33;41;192;154;95;10;266;126;40;113;1
2006/07 SW26 (w/e 04/01);2007-04-01;1267;101;159;90;51;3;2;27;39;180;82;68;1;249;121;35;59;
2006/07 SW27 (w/e 04/08);2007-04-08;459;33;60;22;53;;2;13;11;47;31;24;1;94;16;13;39;
2006/07 SW28 (w/e 04/15);2007-04-15;180;7;33;11;15;;1;1;;23;12;7;;24;17;10;19;
2006/07 SW29 (w/e 04/22);2007-04-22;109;6;18;5;2;;2;2;2;20;6;3;;32;4;4;3;
2006/07 SW30 (w/e 04/29);2007-04-29;33;2;7;2;1;;;4;;5;;3;;7;;1;1;
2006/07 SW31 (w/e 05/06);2007-05-06;18;1;1;1;;1;;1;;1;1;1;;9;1;;;
2006/07 SW32 (w/e 05/13);2007-05-13;5;;;;3;;;;;;;1;;;1;;;
2006/07 SW33 (w/e 05/20);2007-05-20;2;1;;;;;;;;;1;;;;;;;
2006/07 SW34 (w/e 05/27);2007-05-27;3;;2;1;;;;;;;;;;;;;;
2006/07 SW35 (w/e 06/03);2007-06-03;3;1;2;;;;;;;;;;;;;;;
2006/07 SW36 (w/e 06/10);2007-06-10;1;;;;;;;;;;;1;;;;;;
2006/07 SW37 (w/e 06/17);2007-06-17;2;1;1;;;;;;;;;;;;;;;
2006/07 SW38 (w/e 06/24);2007-06-24;3;1;;1;;;;;;;;;;1;;;;
2006/07 SW39 (w/e 07/01);2007-07-01;6;;;;;;;;;5;;;;1;;;;
2006/07 SW40 (w/e 07/08);2007-07-08;2;;;;;;;;;1;1;;;;;;;
2006/07 SW41 (w/e 07/15);2007-07-15;1;;;;;;;1;;;;;;;;;;
2006/07 SW42 (w/e 07/22);2007-07-22;3;1;;;2;;;;;;;;;;;;;
2006/07 SW43 (w/e 07/29);2007-07-29;4;1;;;1;;;;;;1;;;;;;1;
2006/07 SW45 (w/e 08/12);2007-08-12;1;;;;;;;;;;;;;;1;;;
2006/07 SW47 (w/e 08/26);2007-08-26;2;;;;;;;1;;;;1;;;;;;
2006/07 SW48 (w/e 09/02);2007-09-02;4;;;;1;;;;;;1;;;;;2;;
2006/07 SW49 (w/e 09/09);2007-09-09;1;1;;;;;;;;;;;;;;;;
2006/07 SW50 (w/e 09/16);2007-09-16;4;1;1;;;;;;;;1;;;;;;1;
2006/07 SW51 (w/e 09/23);2007-09-23;5;;;;;;;;;;;;;4;;;1;
2006/07 SW52 (w/e 09/30);2007-09-30;2;;1;;;;;;;1;;;;;;;;
2007/08 SW01 (w/e 10/07);2007-10-07;4;;;;2;;;;;;;;1;;;;1;
2007/08 SW02 (w/e 10/14);2007-10-14;1;;;;;;;;;;;1;;;;;;
2007/08 SW03 (w/e 10/21);2007-10-21;2;;1;;;;;;;;;;;;;;1;
2007/08 SW04 (w/e 10/28);2007-10-28;2;;;1;;;;1;;;;;;;;;;
2007/08 SW05 (w/e 11/04);2007-11-04;2;;;;;;;;;1;;;;1;;;;
2007/08 SW06 (w/e 11/11);2007-11-11;11;;3;;;;;;;;;;1;6;;;1;
2007/08 SW07 (w/e 11/18);2007-11-18;4;;;;;;;;;1;;;1;;1;;1;
2007/08 SW08 (w/e 11/25);2007-11-25;12;;3;;;;;;;2;;;;4;;;3;
2007/08 SW09 (w/e 12/02);2007-12-02;12;;9;1;;;;;;1;;;;1;;;;
2007/08 SW10 (w/e 12/09);2007-12-09;9;;3;1;1;;;;;;;;;2;1;;1;
2007/08 SW11 (w/e 12/16);2007-12-16;40;1;26;2;2;;1;;;;;;;2;5;;1;
2007/08 SW12 (w/e 12/23);2007-12-23;58;3;32;1;1;;;1;3;4;2;1;;3;3;;4;
2007/08 SW13 (w/e 12/30);2007-12-30;40;6;18;2;;1;1;;;4;1;4;;1;2;;;
2007/08 SW14 (w/e 01/06);2008-01-06;36;3;23;;;1;;;;3;2;1;;3;;;;
2007/08 SW15 (w/e 01/13);2008-01-13;177;40;72;5;7;1;;1;;9;7;7;3;11;9;2;3;
2007/08 SW16 (w/e 01/20);2008-01-20;518;97;218;35;;2;4;5;2;31;25;15;2;44;20;2;16;
2007/08 SW17 (w/e 01/27);2008-01-27;1093;193;432;81;11;;38;26;6;63;41;62;6;79;29;4;22;
2007/08 SW18 (w/e 02/03);2008-02-03;1513;209;597;63;38;3;15;47;31;81;117;135;7;97;24;25;24;
2007/08 SW19 (w/e 02/10);2008-02-10;1488;256;356;78;36;4;48;61;23;101;149;177;3;103;22;29;42;
2007/08 SW20 (w/e 02/17);2008-02-17;1707;298;365;94;40;2;21;71;20;130;216;220;20;96;29;47;38;
2007/08 SW21 (w/e 02/24);2008-02-24;1771;256;392;94;71;10;37;68;24;138;238;190;6;87;53;39;68;
2007/08 SW22 (w/e 03/02);2008-03-02;1948;310;504;76;42;5;30;72;50;148;227;151;14;133;78;26;82;
2007/08 SW23 (w/e 03/09);2008-03-09;1328;169;377;54;41;13;24;33;39;122;117;108;7;79;56;24;64;1
2007/08 SW24 (w/e 03/16);2008-03-16;1050;174;245;40;35;7;12;28;27;85;96;60;5;110;79;9;38;
